run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.197,5.0,1000,1000,4.303,2.0,19,true,1688,0,272.407,41.091,42.72,45.971,4078.35,4079.221,34.582,34.582,14.14,20,20,88,same_worker,29,1210587
yjit-off/puma-response-chunk-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1689,1000,6.187,5.0,1000,1000,4.283,2.0,19,true,1689,0,273.004,41.043,42.785,46.391,4071.973,4074.535,35.266,35.266,11.65,20,20,87,same_worker,20,1210889
yjit-off/puma-response-string-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.178,5.0,1000,1000,4.259,2.0,19,true,1688,0,273.229,41.059,42.574,46.07,4052.868,4054.944,35.922,35.922,11.04,20,20,87,same_worker,18,1216360
yjit-off/puma-response-io-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1691,1000,6.17,5.0,1000,1000,4.276,2.0,19,true,1691,0,274.079,41.016,42.429,44.417,4046.406,4049.171,36.879,36.879,10.825,20,20,86,same_worker,19,1232534
yjit-off/puma-response-array-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1685,1000,6.209,5.0,1000,1000,4.307,2.0,19,true,1685,0,271.36,41.25,43.119,45.378,4086.521,4100.579,36.879,36.879,10.99,20,20,86,same_worker,15,1210974
yjit-off/puma-response-chunk-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.202,5.0,1000,1000,4.318,2.0,19,true,1686,0,271.851,41.138,42.795,45.176,4085.245,4088.053,36.953,36.953,11.14,20,20,86,same_worker,15,1202281
yjit-off/puma-response-string-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.216,5.0,1000,1000,4.257,2.0,19,true,1686,0,271.248,41.525,43.141,46.512,4072.232,4075.479,37.008,37.008,11.125,20,20,86,same_worker,17,1209854
yjit-off/puma-response-io-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.202,5.0,1000,1000,4.324,2.0,19,true,1686,0,271.829,41.189,42.768,45.948,4085.024,4089.648,38.523,38.523,11.3,20,20,86,same_worker,17,1259567
yjit-off/puma-response-array-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,9654,1000,5.008,5.0,1000,3959,2.008,2.0,19,true,9654,0,1927.82,5.784,7.866,52.88,599.171,645.414,38.645,38.645,17.735,20,20,59,same_worker,88,6939782
yjit-off/puma-response-chunk-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,10042,1000,5.011,5.0,1000,4207,2.008,2.0,19,true,10042,0,2004.148,5.734,7.594,48.622,573.903,605.407,38.883,38.883,26.78,20,20,59,same_worker,89,7187358
