run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.127,5.0,1000,1000,16.158,2.0,5,true,1000,0,62.007,40.983,41.952,42.555,4037.567,4039.104,29.297,29.297,3.095,20,20,237,same_worker,15,721191
yjit-off/puma-response-chunk-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.115,5.0,1000,1000,16.134,2.0,5,true,1000,0,62.053,40.981,41.947,42.288,4028.648,4029.47,29.488,29.488,2.58,20,20,237,same_worker,15,716313
yjit-off/puma-response-string-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.116,5.0,1000,1000,16.138,2.0,5,true,1000,0,62.051,40.977,41.961,42.398,4026.449,4031.375,29.492,29.492,2.405,20,20,237,same_worker,14,718061
yjit-off/puma-response-io-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.12,5.0,1000,1000,16.145,2.0,5,true,1000,0,62.035,40.978,41.973,42.257,4027.734,4028.904,29.492,29.492,2.4,20,20,237,same_worker,15,727297
yjit-off/puma-response-array-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.111,5.0,1000,1000,16.145,2.0,5,true,1000,0,62.07,40.976,41.973,42.409,4031.412,4031.594,29.539,29.539,2.4,20,20,237,same_worker,15,719293
yjit-off/puma-response-chunk-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.115,5.0,1000,1000,16.149,2.0,5,true,1000,0,62.054,40.978,41.961,42.291,4031.876,4032.762,29.594,29.594,2.4,20,20,237,same_worker,15,717863
yjit-off/puma-response-string-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.098,5.0,1000,1000,16.161,2.0,5,true,1000,0,62.121,40.973,41.763,42.238,4024.378,4030.165,29.609,29.609,2.395,20,20,237,same_worker,14,718622
yjit-off/puma-response-io-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.121,5.0,1000,1000,16.172,2.0,5,true,1000,0,62.029,40.977,41.97,42.316,4032.248,4033.13,30.273,30.273,2.4,20,20,237,same_worker,15,745305
yjit-off/puma-response-array-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.407,5.0,1000,1000,13.689,2.0,5,true,1000,0,69.411,40.955,41.945,42.929,3435.525,3624.747,30.352,30.352,2.49,20,20,212,same_worker,14,719297
yjit-off/puma-response-chunk-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.038,5.0,1000,1000,13.308,2.0,5,true,1000,0,66.499,40.961,41.956,42.264,3746.501,3908.253,30.352,30.352,2.6,20,20,221,same_worker,15,718051
yjit-off/puma-response-string-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,13491,1000,5.001,5.0,1000,5384,2.002,2.0,5,true,13491,0,2697.458,1.001,1.906,7.782,105.875,120.621,30.531,30.531,3.785,20,20,72,same_worker,200,9698132
yjit-off/puma-response-io-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.142,5.0,1000,1000,14.044,2.0,5,true,1000,0,70.712,40.967,41.999,42.659,3396.887,3443.294,41.32,41.32,4.42,20,20,208,same_worker,19,924123
yjit-off/puma-response-array-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,8.909,5.0,1000,1000,8.65,2.0,5,true,1000,0,112.244,40.966,42.289,43.18,2451.488,2617.525,41.32,41.32,4.57,20,20,131,same_worker,16,718263
yjit-off/puma-response-chunk-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,11.037,5.0,1000,1000,10.769,2.0,5,true,1000,0,90.602,41.033,42.253,43.119,3074.884,3146.002,41.32,41.32,4.7,20,20,162,same_worker,16,716307
yjit-off/puma-response-string-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,10273,1000,5.002,5.0,1000,4148,2.003,2.0,5,true,10273,0,2053.853,1.279,2.539,7.023,142.96,202.878,41.32,41.32,5.525,20,20,72,same_worker,166,7386580
