run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1684,1000,6.217,5.0,1000,1000,4.272,2.0,19,true,1684,0,270.889,41.387,43.155,45.516,4085.983,4087.464,33.934,33.934,12.09,20,20,92,same_worker,29,1206650
yjit-off/puma-response-chunk-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.179,5.0,1000,1000,4.284,2.0,19,true,1686,0,272.849,41.137,42.717,47.335,4072.445,4074.765,34.621,34.621,10.29,20,20,91,same_worker,22,1206707
yjit-off/puma-response-string-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1691,1000,6.167,5.0,1000,1000,4.286,2.0,19,true,1691,0,274.204,40.989,42.268,46.592,4047.146,4057.542,34.957,34.957,9.73,20,20,91,same_worker,19,1216811
yjit-off/puma-response-io-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.199,5.0,1000,1000,4.266,2.0,19,true,1686,0,271.987,41.061,43.115,45.541,4064.71,4075.152,35.625,35.625,9.595,20,20,91,same_worker,18,1227699
yjit-off/puma-response-array-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.202,5.0,1000,1000,4.312,2.0,19,true,1686,0,271.837,41.082,42.982,45.05,4080.685,4081.052,36.047,36.047,9.505,20,20,92,same_worker,16,1213001
yjit-off/puma-response-chunk-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.189,5.0,1000,1000,4.294,2.0,19,true,1688,0,272.736,41.082,42.832,45.14,4063.053,4065.97,36.387,36.387,9.46,20,20,91,same_worker,15,1205107
yjit-off/puma-response-string-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.205,5.0,1000,1000,4.322,2.0,19,true,1688,0,272.041,41.045,42.779,45.514,4068.579,4071.18,36.828,36.828,9.4,20,20,91,same_worker,14,1211901
yjit-off/puma-response-io-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1681,1000,6.217,5.0,1000,1000,4.274,2.0,19,true,1681,0,270.398,41.628,43.115,44.799,4084.304,4085.231,38.969,38.969,9.47,20,20,92,same_worker,16,1253708
yjit-off/puma-response-array-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,6020,1000,5.045,5.0,1000,2992,2.05,2.0,19,true,6020,0,1193.147,5.107,41.0,47.996,2012.044,2592.992,39.223,39.223,12.99,20,20,70,same_worker,47,4327607
yjit-off/puma-response-chunk-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,6594,1000,5.038,5.0,1000,4648,2.029,2.0,19,true,6594,0,1308.772,5.197,40.992,61.0,1052.011,2028.25,39.492,39.492,17.745,20,20,69,same_worker,48,4725307
yjit-off/puma-response-string-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,12329,1000,5.007,5.0,1000,5054,2.006,2.0,19,true,12329,0,2462.431,4.775,6.022,9.944,488.094,498.928,41.285,41.285,21.37,20,20,65,same_worker,92,8874648
yjit-off/puma-response-io-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,3668,1000,5.044,5.0,1000,1506,3.904,2.0,19,true,3668,0,727.251,5.528,41.994,78.334,2193.284,2246.163,60.934,60.934,23.47,20,20,73,same_worker,32,3384223
yjit-off/puma-response-array-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,4253,1000,5.042,5.0,1000,3267,2.065,2.0,19,true,4253,0,843.462,6.504,42.641,55.244,1554.297,1935.918,60.934,60.934,27.21,20,20,71,same_worker,29,3054237
yjit-off/puma-response-chunk-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,5503,1000,5.053,5.0,1000,1622,2.929,2.0,19,true,5503,0,1089.138,6.446,42.668,51.231,1370.032,1658.751,61.184,61.184,29.235,20,20,69,same_worker,35,3932217
yjit-off/puma-response-string-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,9957,1000,5.01,5.0,1000,3916,2.068,2.0,19,true,9957,0,1987.453,5.955,7.175,13.417,594.103,603.15,61.309,61.309,32.005,20,20,63,same_worker,61,7164835
yjit-off/puma-response-io-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,2306,1000,5.049,5.0,1000,1453,3.796,2.0,19,true,2306,0,456.757,41.74,43.887,50.932,2946.241,3074.415,92.137,92.137,33.33,20,20,74,same_worker,27,2855836
yjit-off/puma-response-array-512kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,5322,1000,5.054,5.0,1000,1576,3.335,2.0,19,true,5322,0,1053.086,8.972,43.773,136.989,1079.058,1165.61,92.324,92.324,36.68,20,20,61,same_worker,30,3822587
