run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.128,5.0,1000,1000,16.191,2.0,5,true,1000,0,62.003,40.98,41.988,42.894,4029.747,4036.745,27.875,27.875,3.33,20,20,236,same_worker,30,719366
yjit-off/puma-response-chunk-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.123,5.0,1000,1000,16.183,2.0,5,true,1000,0,62.022,40.98,41.974,42.293,4025.417,4039.787,27.887,27.887,2.72,20,20,237,same_worker,30,716441
yjit-off/puma-response-string-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.119,5.0,1000,1000,16.157,2.0,5,true,1000,0,62.04,40.983,41.968,42.365,4031.224,4033.659,27.887,27.887,2.575,20,20,237,same_worker,29,719372
yjit-off/puma-response-io-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.109,5.0,1000,1000,16.206,2.0,5,true,1000,0,62.076,40.979,41.95,42.562,4028.462,4029.078,27.887,27.887,2.5,20,20,237,same_worker,30,726242
yjit-off/puma-response-array-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.118,5.0,1000,1000,16.216,2.0,5,true,1000,0,62.043,40.979,41.971,42.492,4028.483,4030.82,27.887,27.887,2.49,20,20,237,same_worker,31,719370
yjit-off/puma-response-chunk-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.127,5.0,1000,1000,16.244,2.0,5,true,1000,0,62.007,40.981,41.98,42.409,4028.928,4029.613,27.887,27.887,2.4,20,20,237,same_worker,30,715682
yjit-off/puma-response-string-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.125,5.0,1000,1000,16.217,2.0,5,true,1000,0,62.017,40.979,41.968,42.457,4031.598,4032.399,27.926,27.926,2.4,20,20,237,same_worker,30,717963
yjit-off/puma-response-io-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.119,5.0,1000,1000,16.206,2.0,5,true,1000,0,62.039,40.979,41.964,42.502,4031.089,4031.969,28.215,28.215,2.4,20,20,237,same_worker,32,745369
yjit-off/puma-response-array-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.117,5.0,1000,1000,13.522,2.0,5,true,1000,0,70.835,40.964,41.955,42.271,3712.051,3838.01,28.215,28.215,2.5,20,20,207,same_worker,32,719375
yjit-off/puma-response-chunk-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.8,5.0,1000,1000,12.373,2.0,5,true,1000,0,67.568,40.964,41.96,42.27,3788.424,3832.586,28.219,28.219,2.63,20,20,217,same_worker,32,716377
