run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.125,5.0,1000,1000,16.161,2.0,5,true,1000,0,62.015,40.982,41.971,42.771,4031.057,4031.925,28.184,28.184,2.965,20,20,237,same_worker,25,719353
yjit-off/puma-response-chunk-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.112,5.0,1000,1000,16.103,2.0,5,true,1000,0,62.065,40.983,41.973,42.378,4027.378,4030.766,28.184,28.184,2.48,20,20,237,same_worker,25,716364
yjit-off/puma-response-string-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.111,5.0,1000,1000,16.11,2.0,5,true,1000,0,62.068,40.982,41.938,42.244,4029.113,4029.489,28.207,28.207,2.295,20,20,238,same_worker,24,719337
yjit-off/puma-response-io-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.102,5.0,1000,1000,16.112,2.0,5,true,1000,0,62.102,40.98,41.949,42.145,4025.543,4028.056,28.242,28.242,2.21,20,20,239,same_worker,24,727345
yjit-off/puma-response-array-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.104,5.0,1000,1000,16.098,2.0,5,true,1000,0,62.097,40.98,41.887,42.394,4027.35,4030.062,28.242,28.242,2.2,20,20,238,same_worker,25,718504
yjit-off/puma-response-chunk-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.107,5.0,1000,1000,16.099,2.0,5,true,1000,0,62.086,40.982,41.958,42.344,4030.24,4031.408,28.242,28.242,2.16,20,20,239,same_worker,24,716344
yjit-off/puma-response-string-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.107,5.0,1000,1000,16.105,2.0,5,true,1000,0,62.085,40.98,41.98,42.559,4029.232,4031.154,28.242,28.242,2.1,20,20,238,same_worker,24,719339
yjit-off/puma-response-io-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.103,5.0,1000,1000,16.108,2.0,5,true,1000,0,62.101,40.98,41.938,42.246,4030.332,4033.198,28.656,28.656,2.1,20,20,240,same_worker,26,745347
yjit-off/puma-response-array-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.313,5.0,1000,1000,14.984,2.0,5,true,1000,0,65.303,40.973,41.974,42.271,3864.863,3946.796,28.656,28.656,2.2,20,20,228,same_worker,24,719345
yjit-off/puma-response-chunk-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.789,5.0,1000,1000,15.508,2.0,5,true,1000,0,67.617,40.972,41.965,42.182,3792.755,3823.272,28.656,28.656,2.275,20,20,219,same_worker,24,715179
yjit-off/puma-response-string-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,13928,1000,5.002,5.0,1000,5822,2.002,2.0,5,true,13928,0,2784.623,0.975,1.811,7.356,102.254,130.512,28.961,28.961,3.435,20,20,73,same_worker,347,10017176
yjit-off/puma-response-io-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.36,5.0,1000,1000,15.004,2.0,5,true,1000,0,65.102,40.972,41.97,42.188,3790.658,3830.878,35.402,35.402,4.065,20,20,228,same_worker,34,925384
yjit-off/puma-response-array-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,10.376,5.0,1000,1000,9.299,2.0,5,true,1000,0,96.381,40.956,41.988,42.952,3039.154,3246.691,35.402,35.402,4.15,20,20,154,same_worker,25,718977
yjit-off/puma-response-chunk-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,11.613,5.0,1000,1000,10.35,2.0,5,true,1000,0,86.108,40.973,42.059,42.975,3000.767,3201.105,35.402,35.402,4.255,20,20,172,same_worker,25,716344
yjit-off/puma-response-string-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,10508,1000,5.002,5.0,1000,4425,2.002,2.0,5,true,10508,0,2100.76,1.227,2.432,41.91,124.373,205.722,35.402,35.402,5.035,20,20,72,same_worker,268,7557529
yjit-off/puma-response-io-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,13.54,5.0,1000,1000,13.255,2.0,5,true,1000,0,73.854,41.202,42.453,43.031,3469.112,3607.027,42.707,42.707,5.5,20,20,201,same_worker,48,1237441
yjit-off/puma-response-array-512kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,11.726,5.0,1000,1000,13.809,2.0,5,true,1000,0,85.284,41.945,42.987,43.968,3289.267,3303.092,42.707,42.707,5.645,20,20,173,same_worker,26,719726
yjit-off/puma-response-chunk-512kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,12.644,5.0,1000,1000,14.09,2.0,5,true,1000,0,79.092,41.945,42.999,44.189,3219.189,3279.953,42.707,42.707,5.785,20,20,186,same_worker,26,716340
yjit-off/puma-response-string-512kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,7304,1000,5.01,5.0,1000,2892,2.005,2.0,5,true,7304,0,1457.9,1.702,3.596,15.1,207.242,229.788,42.707,42.707,6.29,20,20,71,same_worker,190,5252960
yjit-off/puma-response-io-512kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.587,5.0,1000,1000,14.61,2.0,5,true,1000,0,68.553,41.971,43.279,44.243,3592.869,3676.991,48.117,48.113,6.745,20,20,215,same_worker,73,1750151
yjit-off/puma-response-array-1024kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1024kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.913,5.0,1000,1000,15.638,2.0,5,true,1000,0,67.056,41.994,44.107,45.8,3614.849,3777.478,48.113,48.113,6.96,20,20,220,same_worker,26,719006
yjit-off/puma-response-chunk-1024kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1024kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.465,5.0,1000,1000,15.423,2.0,5,true,1000,0,64.66,41.978,43.552,44.812,3826.553,3847.119,48.113,48.113,7.19,20,20,229,same_worker,26,715478
yjit-off/puma-response-string-1024kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1024kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,5707,1000,5.003,5.0,1000,2344,2.003,2.0,5,true,5707,0,1140.642,2.307,4.582,13.83,249.594,271.262,49.586,49.586,7.585,20,20,70,same_worker,151,4104628
yjit-off/puma-response-io-1024kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1024kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.565,5.0,1000,1000,15.685,2.0,5,true,1000,0,64.246,42.985,44.995,46.258,3919.286,3959.363,57.898,57.898,8.14,20,20,230,same_worker,126,2773743
