run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1691,1000,6.183,5.0,1000,1000,4.299,2.0,19,true,1691,0,273.476,40.994,42.681,46.231,4046.222,4049.921,33.746,33.746,11.68,20,20,92,same_worker,28,1212326
yjit-off/puma-response-chunk-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1685,1000,6.254,5.0,1000,1000,4.281,2.0,19,true,1685,0,269.41,41.572,43.226,45.694,4103.72,4107.059,34.188,34.188,10.055,20,20,92,same_worker,23,1209165
yjit-off/puma-response-string-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1687,1000,6.19,5.0,1000,1000,4.335,2.0,19,true,1687,0,272.532,41.009,42.771,46.232,4065.67,4068.128,34.656,34.656,9.575,20,20,92,same_worker,20,1210707
yjit-off/puma-response-io-1kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1691,1000,6.19,5.0,1000,1000,4.28,2.0,19,true,1691,0,273.185,41.001,42.694,45.061,4053.017,4054.511,35.43,35.43,9.455,20,20,91,same_worker,18,1228975
yjit-off/puma-response-array-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1691,1000,6.187,5.0,1000,1000,4.316,2.0,19,true,1691,0,273.315,40.99,42.566,44.614,4045.532,4057.367,35.934,35.934,9.405,20,20,92,same_worker,16,1220234
yjit-off/puma-response-chunk-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.18,5.0,1000,1000,4.295,2.0,19,true,1688,0,273.141,41.055,42.699,44.544,4050.249,4050.924,36.434,36.434,9.37,20,20,91,same_worker,15,1211969
yjit-off/puma-response-string-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1686,1000,6.214,5.0,1000,1000,4.281,2.0,19,true,1686,0,271.33,41.583,43.01,44.166,4087.248,4088.788,36.98,36.98,9.3,20,20,92,same_worker,13,1207337
yjit-off/puma-response-io-10kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1688,1000,6.175,5.0,1000,1000,4.309,2.0,19,true,1688,0,273.365,40.994,42.601,45.733,4062.127,4071.606,39.309,39.309,9.355,20,20,91,same_worker,15,1258185
yjit-off/puma-response-array-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,11399,1000,5.006,5.0,1000,4632,2.007,2.0,19,true,11399,0,2276.897,4.965,6.285,48.728,493.242,537.732,39.672,39.672,14.57,20,20,65,same_worker,80,8195688
yjit-off/puma-response-chunk-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,11500,1000,5.009,5.0,1000,4666,2.007,2.0,19,true,11500,0,2296.003,4.846,6.296,49.448,462.073,530.098,40.09,40.09,21.815,20,20,65,same_worker,77,8232887
yjit-off/puma-response-string-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,12388,1000,5.007,5.0,1000,5057,2.006,2.0,19,true,12388,0,2474.382,4.744,5.983,9.659,480.292,484.484,41.75,41.75,26.94,20,20,65,same_worker,82,8909041
yjit-off/puma-response-io-100kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,3199,1000,5.042,5.0,1000,1351,4.078,2.0,19,true,3199,0,634.523,5.682,42.048,49.542,2763.832,3215.007,62.406,62.406,28.565,20,20,73,same_worker,27,2965478
yjit-off/puma-response-array-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,8429,1000,5.057,5.0,1000,3102,2.034,2.0,19,true,8429,0,1666.672,6.39,8.967,59.777,630.342,718.908,62.531,62.531,32.565,20,20,64,same_worker,51,6063614
yjit-off/puma-response-chunk-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,6534,1000,5.046,5.0,1000,3177,2.047,2.0,19,true,6534,0,1294.781,6.432,42.191,99.862,960.096,1263.037,62.781,62.781,37.645,20,20,68,same_worker,38,4678142
yjit-off/puma-response-string-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,9943,1000,5.008,5.0,1000,4038,2.009,2.0,19,true,9943,0,1985.24,5.94,7.193,16.961,590.567,601.279,62.934,62.934,40.13,20,20,63,same_worker,58,7136654
yjit-off/puma-response-io-256kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,1940,1000,5.054,5.0,1000,1397,4.031,2.0,19,true,1940,0,383.887,41.915,43.088,52.22,3112.953,3152.251,95.703,95.703,40.705,20,20,75,same_worker,21,2398063
yjit-off/puma-response-array-512kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,5936,1000,5.013,5.0,1000,2464,2.048,2.0,19,true,5936,0,1184.105,9.073,18.804,62.448,946.679,1007.447,95.703,95.703,44.58,20,20,59,same_worker,32,4265917
yjit-off/puma-response-chunk-512kb/raptor-12r/repeat-1,yjit-off,false,puma-response-chunk-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,5710,1000,5.026,5.0,1000,2417,2.046,2.0,19,true,5710,0,1136.062,8.934,24.385,57.277,1009.367,1152.031,91.445,91.445,50.16,20,20,59,same_worker,31,4087321
yjit-off/puma-response-string-512kb/raptor-12r/repeat-1,yjit-off,false,puma-response-string-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,6771,1000,5.011,5.0,1000,2732,2.099,2.0,19,true,6771,0,1351.183,8.19,13.853,22.311,861.097,881.103,92.508,92.508,52.19,20,20,58,same_worker,37,4866860
yjit-off/puma-response-io-512kb/raptor-12r/repeat-1,yjit-off,false,puma-response-io-512kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,2098,1000,5.044,5.0,1000,1148,4.014,2.0,19,true,2098,0,415.926,41.994,46.233,54.714,2524.669,2689.636,125.934,125.934,52.79,20,20,74,same_worker,32,3665979
yjit-off/puma-response-array-1024kb/raptor-12r/repeat-1,yjit-off,false,puma-response-array-1024kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-12r,12,raptor,12,,3143,1000,5.049,5.0,1000,1501,3.996,2.0,19,true,3143,0,622.501,13.192,53.281,71.392,1926.329,1984.901,126.121,126.121,55.81,20,20,63,same_worker,16,2253376
