run_id,runtime,yjit,scenario,scenario_family,benchmark_source,benchmark_source_url,server,server_capacity,adapter,workers,threads,requests,target_requests,duration_s,min_duration_s,target_warmup_requests,warmup_requests,warmup_duration_s,warmup_min_duration_s,concurrency,keep_alive,completed,errors,achieved_rps,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,rss_mb_peak,rss_mb_end,cpu_pct_avg,target_sample_count,sample_count,raw_sample_count,gc_delta_scope,gc_count_delta,total_allocated_objects_delta
yjit-off/puma-response-array-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.109,5.0,1000,1000,16.147,2.0,5,true,1000,0,62.076,40.981,41.98,42.414,4029.888,4032.902,28.137,28.137,2.885,20,20,238,same_worker,24,719351
yjit-off/puma-response-chunk-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.104,5.0,1000,1000,16.13,2.0,5,true,1000,0,62.097,40.978,41.92,42.106,4024.484,4025.345,28.152,28.152,2.39,20,20,237,same_worker,25,716356
yjit-off/puma-response-string-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.113,5.0,1000,1000,16.105,2.0,5,true,1000,0,62.063,40.981,41.929,42.333,4030.34,4031.029,28.152,28.152,2.3,20,20,237,same_worker,24,718909
yjit-off/puma-response-io-1kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-1kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.101,5.0,1000,1000,16.131,2.0,5,true,1000,0,62.107,40.974,41.936,42.261,4026.511,4030.571,28.18,28.18,2.3,20,20,237,same_worker,24,727339
yjit-off/puma-response-array-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.112,5.0,1000,1000,16.15,2.0,5,true,1000,0,62.066,40.98,41.953,42.357,4028.678,4029.836,28.18,28.18,2.3,20,20,237,same_worker,25,719336
yjit-off/puma-response-chunk-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.114,5.0,1000,1000,16.119,2.0,5,true,1000,0,62.058,40.98,41.959,42.432,4030.149,4030.392,28.18,28.18,2.295,20,20,238,same_worker,24,716263
yjit-off/puma-response-string-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.104,5.0,1000,1000,16.113,2.0,5,true,1000,0,62.098,40.979,41.843,42.278,4025.571,4027.153,28.223,28.223,2.21,20,20,237,same_worker,24,717955
yjit-off/puma-response-io-10kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-10kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,16.111,5.0,1000,1000,16.135,2.0,5,true,1000,0,62.069,40.98,41.952,42.428,4030.194,4031.39,28.234,28.234,2.29,20,20,237,same_worker,25,745249
yjit-off/puma-response-array-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.915,5.0,1000,1000,13.498,2.0,5,true,1000,0,67.047,40.967,41.96,42.26,3751.957,3872.858,28.359,28.359,2.375,20,20,220,same_worker,24,718341
yjit-off/puma-response-chunk-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-chunk-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,15.349,5.0,1000,1000,13.758,2.0,5,true,1000,0,65.151,40.971,41.954,42.922,3860.685,3900.323,28.434,28.434,2.465,20,20,227,same_worker,24,714809
yjit-off/puma-response-string-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-string-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,13932,1000,5.002,5.0,1000,5917,2.001,2.0,5,true,13932,0,2785.476,0.979,1.722,7.229,103.628,117.252,28.91,28.91,3.63,20,20,73,same_worker,345,10017309
yjit-off/puma-response-io-100kb/raptor-3r/repeat-1,yjit-off,false,puma-response-io-100kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,14.05,5.0,1000,1000,14.483,2.0,5,true,1000,0,71.176,40.972,41.978,42.382,3830.642,3831.081,33.473,33.473,4.2,20,20,208,same_worker,34,925249
yjit-off/puma-response-array-256kb/raptor-3r/repeat-1,yjit-off,false,puma-response-array-256kb,puma-response-time-wrk,puma/benchmarks/local/response_time_wrk,https://github.com/puma/puma/blob/main/benchmarks/local/response_time_wrk.rb,raptor-3r,3,raptor,3,,1000,1000,10.684,5.0,1000,1000,8.769,2.0,5,true,1000,0,93.594,40.965,42.017,42.952,3283.659,3482.318,33.473,33.473,4.3,20,20,158,same_worker,25,718365
